Randomizer Version: 4.6.1
Random Seed: 4635469872613
Settings String: 322QQgEAgj8AP8AAgEBAAIeIQAEFAAAFAACAQABAAAAAAAAAAAAMgQyAQAICTIGBAAyAAEAC0VtZXJhbGQgKFMpUTTsZePDOIo=

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
 31|NIDOQUEEN    |POISON/GROUND    |  90|  82|  87|  75|  85|  76|MAR LLAMAS  |INSONORIZAR |
 32|NIDORAN♂     |POISON           |  46|  57|  40|  40|  40|  50|VELO ARENA  |MUDAR       |
 33|NIDORINO     |POISON           |  61|  72|  57|  55|  55|  65|ILUMINACIÓN |(?)         |
 34|NIDOKING     |POISON/GROUND    |  81|  92|  77|  85|  75|  85|CHORRO ARENA|(?)         |
 35|CLEFAIRY     |NORMAL           |  70|  45|  48|  60|  65|  35|ILUMINACIÓN |(?)         |BAYA ZANAMA (common), PIEDRA LUNAR (rare)
 36|CLEFABLE     |NORMAL           |  95|  70|  73|  85|  90|  60|ARMAD. BAT. |HUMEDAD     |BAYA ZANAMA (common), PIEDRA LUNAR (rare)
 37|VULPIX       |FIRE             |  38|  41|  40|  50|  65|  65|PARARRAYOS  |ENTUSIASMO  |BAYA SAFRE (100%)
 38|NINETALES    |FIRE             |  73|  76|  75|  81| 100| 100|CURA LLUVIA |(?)         |BAYA SAFRE (100%)
 39|JIGGLYPUFF   |NORMAL           | 115|  45|  20|  45|  25|  20|CHORRO ARENA|HUMEDAD     |
 40|WIGGLYTUFF   |NORMAL           | 140|  70|  45|  75|  50|  45|ACLIMATACIÓN|(?)         |
 41|ZUBAT        |POISON/FLYING    |  40|  45|  35|  30|  40|  55|DESPISTE    |(?)         |
 42|GOLBAT       |POISON/FLYING    |  75|  80|  70|  65|  75|  90|VELO AGUA   |(?)         |
 43|ODDISH       |GRASS/POISON     |  45|  50|  55|  75|  65|  30|FLEXIBILIDAD|(?)         |
 44|GLOOM        |GRASS/POISON     |  60|  65|  70|  85|  75|  40|CHORRO ARENA|VELO ARENA  |
 45|VILEPLUME    |GRASS/POISON     |  75|  80|  85| 100|  90|  50|TORRENTE    |HUMEDAD     |
 46|PARAS        |BUG/GRASS        |  35|  70|  55|  45|  55|  25|ROBUSTEZ    |(?)         |MINI SETA (common), SETA GRANDE (rare)
 47|PARASECT     |BUG/GRASS        |  60|  95|  80|  60|  80|  30|MUDAR       |HEDOR       |MINI SETA (common), SETA GRANDE (rare)
 48|VENONAT      |BUG/POISON       |  60|  55|  50|  40|  55|  45|TRAMPA ARENA|(?)         |
 49|VENOMOTH     |BUG/POISON       |  70|  65|  60|  90|  75|  90|IMPULSO     |ABSOR. FUEGO|
 50|DIGLETT      |GROUND           |  10|  55|  25|  35|  45|  95|HEDOR       |(?)         |
 51|DUGTRIO      |GROUND           |  35|  80|  50|  50|  70| 120|VENTOSAS    |(?)         |
 52|MEOWTH       |NORMAL           |  40|  45|  35|  40|  40|  90|PUNTO TÓXICO|(?)         |
 53|PERSIAN      |NORMAL           |  65|  70|  60|  65|  65| 115|HUMEDAD     |IMÁN        |
 54|PSYDUCK      |WATER            |  50|  52|  48|  65|  50|  55|RECOGIDA    |SEQUÍA      |
 55|GOLDUCK      |WATER            |  80|  82|  78|  95|  80|  85|VELO AGUA   |ESPESURA    |
 56|MANKEY       |FIGHTING         |  40|  80|  35|  35|  45|  70|ESCUDO MAGMA|ACLIMATACIÓN|
 57|PRIMEAPE     |FIGHTING         |  65| 105|  60|  60|  70|  95|POLVO ESCUDO|(?)         |
 58|GROWLITHE    |FIRE             |  55|  70|  45|  70|  50|  60|PIEL TOSCA  |ACLIMATACIÓN|BAYA SAFRE (100%)
 59|ARCANINE     |FIRE             |  90| 110|  80| 100|  80|  95|SINCRONÍA   |(?)         |BAYA SAFRE (100%)
 60|POLIWAG      |WATER            |  40|  50|  40|  40|  40|  90|AUSENTE     |(?)         |
 61|POLIWHIRL    |WATER            |  65|  65|  65|  50|  50|  90|INSOMNIO    |VISCOSIDAD  |ROCA DEL REY (rare)
 62|POLIWRATH    |WATER/FIGHTING   |  90|  85|  95|  70|  90|  70|AGALLAS     |ILUMINACIÓN |ROCA DEL REY (rare)
 63|ABRA         |PSYCHIC          |  25|  20|  15| 105|  55|  90|CURA LLUVIA |CAPARAZÓN   |CUCHARA TOR (rare)
 64|KADABRA      |PSYCHIC          |  40|  35|  30| 120|  70| 105|HUMEDAD     |FUGA        |CUCHARA TOR (rare)
 65|ALAKAZAM     |PSYCHIC          |  55|  50|  45| 135|  85| 120|RITMO PROPIO|(?)         |CUCHARA TOR (rare)
 66|MACHOP       |FIGHTING         |  70|  80|  50|  35|  35|  35|TORRENTE    |(?)         |
 67|MACHOKE      |FIGHTING         |  80| 100|  70|  50|  60|  45|INSOMNIO    |MENOS       |
 68|MACHAMP      |FIGHTING         |  90| 130|  80|  65|  85|  55|GRAN ENCANTO|(?)         |
 69|BELLSPROUT   |GRASS/POISON     |  50|  75|  35|  70|  30|  40|ACLIMATACIÓN|(?)         |
 70|WEEPINBELL   |GRASS/POISON     |  65|  90|  50|  85|  45|  55|CHORRO ARENA|TRAMPA ARENA|
 71|VICTREEBEL   |GRASS/POISON     |  80| 105|  65| 100|  60|  70|POTENCIA    |PUNTO TÓXICO|
 72|TENTACOOL    |WATER/POISON     |  40|  40|  35|  50| 100|  70|POLVO ESCUDO|(?)         |
 73|TENTACRUEL   |WATER/POISON     |  80|  70|  65|  80| 120| 100|ABSOR. ELEC.|ROBUSTEZ    |
 74|GEODUDE      |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|ENERGÍA PURA|(?)         |PIEDRAETERNA (rare)
 75|GRAVELER     |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|ROBUSTEZ    |(?)         |PIEDRAETERNA (rare)
 76|GOLEM        |ROCK/GROUND      |  80| 110| 130|  55|  65|  45|LLOVIZNA    |(?)         |PIEDRAETERNA (rare)
 77|PONYTA       |FIRE             |  50|  85|  55|  65|  65|  90|CLOROFILA   |(?)         |
 78|RAPIDASH     |FIRE             |  65| 100|  70|  80|  80| 105|ROBUSTEZ    |POTENCIA    |
 79|SLOWPOKE     |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|GRAN ENCANTO|ABSOR. ELEC.|ROCA DEL REY (rare)
 80|SLOWBRO      |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|SEQUÍA      |SOMBRATRAMPA|ROCA DEL REY (rare)
 81|MAGNEMITE    |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|ROBUSTEZ    |CAMBIO COLOR|REV.METÁLICO (rare)
 82|MAGNETON     |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|MAR LLAMAS  |OJOCOMPUESTO|REV.METÁLICO (rare)
 83|FARFETCH’D   |NORMAL/FLYING    |  52|  65|  55|  58|  62|  60|SINCRONÍA   |(?)         |PALO (rare)
 84|DODUO        |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|HUMO BLANCO |ENJAMBRE    |PICO AFILADO (rare)
 85|DODRIO       |NORMAL/FLYING    |  60| 110|  70|  60|  60| 100|MUDAR       |INMUNIDAD   |PICO AFILADO (rare)
 86|SEEL         |WATER            |  65|  45|  55|  45|  70|  45|FLEXIBILIDAD|HUMO BLANCO |
 87|DEWGONG      |WATER/ICE        |  90|  70|  80|  70|  95|  70|LEVITACIÓN  |ILUMINACIÓN |
 88|GRIMER       |POISON           |  80|  80|  50|  40|  50|  25|VISTA LINCE |SEBO        |PEPITA (rare)
 89|MUK          |POISON           | 105| 105|  75|  65| 100|  50|NADO RÁPIDO |ENJAMBRE    |PEPITA (rare)
 90|SHELLDER     |WATER            |  30|  65| 100|  45|  25|  40|ACLIMATACIÓN|(?)         |PERLA (common), PERLA GRANDE (rare)
 91|CLOYSTER     |WATER/ICE        |  50|  95| 180|  85|  45|  70|ESCUDO MAGMA|POLVO ESCUDO|PERLA (common), PERLA GRANDE (rare)
 92|GASTLY       |GHOST/POISON     |  30|  35|  30| 100|  35|  80|ARMAD. BAT. |(?)         |
 93|HAUNTER      |GHOST/POISON     |  45|  50|  45| 115|  55|  95|RECOGIDA    |(?)         |
 94|GENGAR       |GHOST/POISON     |  60|  65|  60| 130|  75| 110|ESCAMA ESP. |(?)         |
 95|ONIX         |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|SINCRONÍA   |FLEXIBILIDAD|
 96|DROWZEE      |PSYCHIC          |  60|  48|  45|  43|  90|  42|CUERPO PURO |VELO AGUA   |
 97|HYPNO        |PSYCHIC          |  85|  73|  70|  73| 115|  67|INSOMNIO    |(?)         |
 98|KRABBY       |WATER            |  30| 105|  90|  25|  25|  50|HUMO BLANCO |ELEC. ESTÁT.|
 99|KINGLER      |WATER            |  55| 130| 115|  50|  50|  75|HEDOR       |(?)         |
100|VOLTORB      |ELECTRIC         |  40|  30|  50|  55|  55| 100|HUMO BLANCO |(?)         |
101|ELECTRODE    |ELECTRIC         |  60|  50|  70|  80|  80| 140|PARARRAYOS  |INTIMIDACIÓN|
102|EXEGGCUTE    |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|CURA NATURAL|(?)         |
103|EXEGGUTOR    |GRASS/PSYCHIC    |  95|  95|  85| 125|  65|  55|MUDAR       |(?)         |
104|CUBONE       |GROUND           |  50|  50|  95|  40|  50|  35|ARMAD. BAT. |(?)         |HUESO GRUESO (rare)
105|MAROWAK      |GROUND           |  60|  80| 110|  50|  80|  45|CABEZA ROCA |(?)         |HUESO GRUESO (rare)
106|HITMONLEE    |FIGHTING         |  50| 120|  53|  35| 110|  87|PRESIÓN     |MUDAR       |
107|HITMONCHAN   |FIGHTING         |  50| 105|  79|  35| 110|  76|MUDAR       |DICHA       |
108|LICKITUNG    |NORMAL           |  90|  55|  75|  60|  75|  30|MAR LLAMAS  |OJOCOMPUESTO|
109|KOFFING      |POISON           |  40|  65|  95|  60|  45|  35|LEVITACIÓN  |(?)         |BOLA HUMO (rare)
110|WEEZING      |POISON           |  65|  90| 120|  85|  70|  60|CHORRO ARENA|FOCO INTERNO|BOLA HUMO (rare)
111|RHYHORN      |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|ACLIMATACIÓN|ENJAMBRE    |
112|RHYDON       |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|SEQUÍA      |(?)         |
113|CHANSEY      |NORMAL           | 250|   5|   5|  35| 105|  50|HUMO BLANCO |(?)         |HUEVO SUERTE (rare)
114|TANGELA      |GRASS            |  65|  55| 115| 100|  40|  60|FUGA        |PARARRAYOS  |
115|KANGASKHAN   |NORMAL           | 105|  95|  80|  40|  80|  90|ELEC. ESTÁT.|CUERPO PURO |
116|HORSEA       |WATER            |  30|  40|  70|  70|  25|  60|CUERPO PURO |(?)         |ESCAMADRAGÓN (rare)
117|SEADRA       |WATER            |  55|  65|  95|  95|  45|  85|ROBUSTEZ    |MAR LLAMAS  |ESCAMADRAGÓN (rare)
118|GOLDEEN      |WATER            |  45|  67|  60|  35|  50|  63|RECOGIDA    |(?)         |
119|SEAKING      |WATER            |  80|  92|  65|  65|  80|  68|CORTE FUERTE|(?)         |
120|STARYU       |WATER            |  30|  45|  55|  70|  55|  85|INSOMNIO    |CAPARAZÓN   |POLVOESTELAR (common), TR. ESTRELLA (rare)
121|STARMIE      |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|ELEC. ESTÁT.|AGALLAS     |POLVOESTELAR (common), TR. ESTRELLA (rare)
122|MR. MIME     |PSYCHIC          |  40|  45|  65| 100| 120|  90|ROBUSTEZ    |(?)         |BAYA ZANAMA (rare)
123|SCYTHER      |BUG/FLYING       |  70| 110|  80|  55|  80| 105|PUNTO TÓXICO|(?)         |
124|JYNX         |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|HUMEDAD     |(?)         |BAYA PERASI (100%)
125|ELECTABUZZ   |ELECTRIC         |  65|  83|  57|  95|  85| 105|CLOROFILA   |LODO LÍQUIDO|
126|MAGMAR       |FIRE             |  65|  95|  57| 100|  85|  93|SEQUÍA      |(?)         |BAYA SAFRE (100%)
127|PINSIR       |BUG              |  65| 125| 100|  55|  70|  85|ARMAD. BAT. |VISTA LINCE |
128|TAUROS       |NORMAL           |  75| 100|  95|  40|  70| 110|SEBO        |(?)         |
129|MAGIKARP     |WATER            |  20|  10|  55|  15|  20|  80|INMUNIDAD   |ABSOR. FUEGO|
130|GYARADOS     |WATER/FLYING     |  95| 125|  79|  60| 100|  81|ENERGÍA PURA|ENTUSIASMO  |
131|LAPRAS       |WATER/ICE        | 130|  85|  80|  85|  95|  60|ESCUDO MAGMA|CURA NATURAL|
132|DITTO        |NORMAL           |  48|  48|  48|  48|  48|  48|FOCO INTERNO|(?)         |POL.METÁLICO (rare)
133|EEVEE        |NORMAL           |  55|  55|  50|  45|  65|  55|CURA LLUVIA |NADO RÁPIDO |
134|VAPOREON     |WATER            | 130|  65|  60| 110|  95|  65|PUNTO TÓXICO|(?)         |
135|JOLTEON      |ELECTRIC         |  65|  65|  60| 110|  95| 130|PIEL TOSCA  |(?)         |
136|FLAREON      |FIRE             |  65| 130|  60|  95| 110|  65|RASTRO      |(?)         |
137|PORYGON      |NORMAL           |  65|  60|  70|  85|  75|  40|FLEXIBILIDAD|ABSOR. ELEC.|
138|OMANYTE      |ROCK/WATER       |  35|  40| 100|  90|  55|  35|INTIMIDACIÓN|RASTRO      |
139|OMASTAR      |ROCK/WATER       |  70|  60| 125| 115|  70|  55|RASTRO      |(?)         |
140|KABUTO       |ROCK/WATER       |  30|  80|  90|  55|  45|  55|EFEC. ESPORA|(?)         |
141|KABUTOPS     |ROCK/WATER       |  60| 115| 105|  65|  70|  80|VISCOSIDAD  |(?)         |
142|AERODACTYL   |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|FUGA        |(?)         |
143|SNORLAX      |NORMAL           | 160| 110|  65|  65| 110|  30|MÁS         |(?)         |RESTOS (100%)
144|ARTICUNO     |ICE/FLYING       |  90|  85| 100|  95| 125|  85|INSONORIZAR |DICHA       |
145|ZAPDOS       |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|RASTRO      |POLVO ESCUDO|
146|MOLTRES      |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|FUGA        |(?)         |
147|DRATINI      |DRAGON           |  41|  64|  45|  50|  50|  50|VENTOSAS    |SEQUÍA      |ESCAMADRAGÓN (rare)
148|DRAGONAIR    |DRAGON           |  61|  84|  65|  70|  70|  70|ARMAD. BAT. |CUERPO PURO |ESCAMADRAGÓN (rare)
149|DRAGONITE    |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|HUMO BLANCO |CLOROFILA   |ESCAMADRAGÓN (rare)
150|MEWTWO       |PSYCHIC          | 106| 110|  90| 154|  90| 130|FOCO INTERNO|BUCLE AIRE  |
151|MEW          |PSYCHIC          | 100| 100| 100| 100| 100| 100|RASTRO      |EFEC. ESPORA|BAYA ZIUELA (100%)
152|CHIKORITA    |GRASS            |  45|  49|  65|  49|  65|  45|BUCLE AIRE  |MENOS       |
153|BAYLEEF      |GRASS            |  60|  62|  80|  63|  80|  60|AGALLAS     |MÁS         |
154|MEGANIUM     |GRASS            |  80|  82| 100|  83| 100|  80|INMUNIDAD   |(?)         |
155|CYNDAQUIL    |FIRE             |  39|  52|  43|  60|  50|  65|EFEC. ESPORA|TORRENTE    |
156|QUILAVA      |FIRE             |  58|  64|  58|  80|  65|  80|ILUMINACIÓN |IMÁN        |
157|TYPHLOSION   |FIRE             |  78|  84|  78| 109|  85| 100|AUSENTE     |ILUMINACIÓN |
158|TOTODILE     |WATER            |  50|  65|  64|  44|  48|  43|VELO AGUA   |ESCAMA ESP. |
159|CROCONAW     |WATER            |  65|  80|  80|  59|  63|  58|PARARRAYOS  |HUMO BLANCO |
160|FERALIGATR   |WATER            |  85| 105| 100|  79|  83|  78|OJOCOMPUESTO|(?)         |
161|SENTRET      |NORMAL           |  35|  46|  34|  35|  45|  20|VELO AGUA   |ESPESURA    |BAYA ARANJA (rare)
162|FURRET       |NORMAL           |  85|  76|  64|  45|  55|  90|CUERPO PURO |ILUMINACIÓN |BAYA ARANJA (common), BAYA ZIDRA (rare)
163|HOOTHOOT     |NORMAL/FLYING    |  60|  30|  30|  36|  56|  50|INTIMIDACIÓN|BUCLE AIRE  |
164|NOCTOWL      |NORMAL/FLYING    | 100|  50|  50|  76|  96|  70|SOMBRATRAMPA|ABSOR. ELEC.|
165|LEDYBA       |BUG/FLYING       |  40|  20|  30|  40|  80|  55|RASTRO      |(?)         |
166|LEDIAN       |BUG/FLYING       |  55|  35|  50|  55| 110|  85|SOMBRATRAMPA|DICHA       |
167|SPINARAK     |BUG/POISON       |  40|  60|  40|  40|  40|  30|ABSOR. FUEGO|VELO ARENA  |
168|ARIADOS      |BUG/POISON       |  70|  90|  70|  60|  60|  40|ABSOR. AGUA |(?)         |
169|CROBAT       |POISON/FLYING    |  85|  90|  80|  70|  80| 130|LODO LÍQUIDO|(?)         |
170|CHINCHOU     |WATER/ELECTRIC   |  75|  38|  38|  56|  56|  67|ESPÍR. VITAL|(?)         |P. AMARILLA (rare)
171|LANTURN      |WATER/ELECTRIC   | 125|  58|  58|  76|  76|  67|ABSOR. AGUA |(?)         |P. AMARILLA (rare)
172|PICHU        |ELECTRIC         |  20|  40|  15|  35|  35|  60|ESCUDO MAGMA|CORTE FUERTE|BAYA ARANJA (rare)
173|CLEFFA       |NORMAL           |  50|  25|  28|  45|  55|  15|MADRUGAR    |VELO AGUA   |BAYA ZANAMA (common), PIEDRA LUNAR (rare)
174|IGGLYBUFF    |NORMAL           |  90|  30|  15|  40|  20|  15|MÁS         |(?)         |
175|TOGEPI       |NORMAL           |  35|  20|  65|  40|  65|  20|MÁS         |LLOVIZNA    |
176|TOGETIC      |NORMAL/FLYING    |  55|  40|  85|  80| 105|  40|MUDAR       |(?)         |
177|NATU         |PSYCHIC/FLYING   |  40|  50|  45|  70|  45|  70|MENOS       |DICHA       |
178|XATU         |PSYCHIC/FLYING   |  65|  75|  70|  95|  70|  95|ENERGÍA PURA|(?)         |
179|MAREEP       |ELECTRIC         |  55|  40|  40|  65|  45|  35|LEVITACIÓN  |(?)         |
180|FLAAFFY      |ELECTRIC         |  70|  55|  55|  80|  60|  45|IMÁN        |(?)         |
181|AMPHAROS     |ELECTRIC         |  90|  75|  75| 115|  90|  55|VISTA LINCE |CUERPO LLAMA|
182|BELLOSSOM    |GRASS            |  75|  80|  85|  90| 100|  50|TRAMPA ARENA|CORTE FUERTE|
183|MARILL       |WATER            |  70|  20|  50|  20|  50|  40|AUSENTE     |VENTOSAS    |
184|AZUMARILL    |WATER            | 100|  50|  80|  50|  80|  50|LLOVIZNA    |(?)         |
185|SUDOWOODO    |ROCK             |  70| 100| 115|  30|  65|  30|SOMBRATRAMPA|VISTA LINCE |
186|POLITOED     |WATER            |  90|  75|  75|  90| 100|  70|TORRENTE    |SINCRONÍA   |ROCA DEL REY (rare)
187|HOPPIP       |GRASS/FLYING     |  35|  35|  40|  35|  55|  50|ENJAMBRE    |(?)         |
188|SKIPLOOM     |GRASS/FLYING     |  55|  45|  50|  45|  65|  80|ABSOR. FUEGO|ARMAD. BAT. |
189|JUMPLUFF     |GRASS/FLYING     |  75|  55|  70|  55|  85| 110|HUMEDAD     |(?)         |
190|AIPOM        |NORMAL           |  55|  70|  55|  40|  55|  85|INTIMIDACIÓN|(?)         |
191|SUNKERN      |GRASS            |  30|  30|  30|  30|  30|  30|MAR LLAMAS  |(?)         |
192|SUNFLORA     |GRASS            |  75|  75|  55| 105|  85|  30|MÁS         |(?)         |
193|YANMA        |BUG/FLYING       |  65|  65|  45|  75|  45|  95|OJOCOMPUESTO|ELEC. ESTÁT.|
194|WOOPER       |WATER/GROUND     |  55|  45|  45|  25|  25|  15|AGALLAS     |AUSENTE     |
195|QUAGSIRE     |WATER/GROUND     |  95|  85|  85|  65|  65|  35|ESPÍR. VITAL|MADRUGAR    |
196|ESPEON       |PSYCHIC          |  65|  65|  60| 130|  95| 110|MADRUGAR    |DESPISTE    |
197|UMBREON      |DARK             |  95|  65| 110|  60| 130|  65|DESPISTE    |CABEZA ROCA |
198|MURKROW      |DARK/FLYING      |  60|  85|  42|  85|  42|  91|MUDAR       |(?)         |
199|SLOWKING     |WATER/PSYCHIC    |  95|  75|  80| 100| 110|  30|DESPISTE    |(?)         |ROCA DEL REY (rare)
200|MISDREAVUS   |GHOST            |  60|  60|  60|  85|  85|  85|ESCUDO MAGMA|MENOS       |HECHIZO (rare)
201|UNOWN        |PSYCHIC          |  48|  72|  48|  72|  48|  48|PARARRAYOS  |GRAN ENCANTO|
202|WOBBUFFET    |PSYCHIC          | 190|  33|  58|  33|  58|  33|CAPARAZÓN   |(?)         |
203|GIRAFARIG    |NORMAL/PSYCHIC   |  70|  80|  65|  90|  65|  85|ARMAD. BAT. |(?)         |BAYA CAQUIC (rare)
204|PINECO       |BUG              |  50|  65|  90|  35|  35|  15|CAMBIO COLOR|INMUNIDAD   |
205|FORRETRESS   |BUG/STEEL        |  75|  90| 140|  60|  60|  40|AGALLAS     |(?)         |
206|DUNSPARCE    |NORMAL           | 100|  70|  70|  65|  65|  45|SEBO        |POTENCIA    |
207|GLIGAR       |GROUND/FLYING    |  65|  75| 105|  35|  65|  85|POTENCIA    |INMUNIDAD   |
208|STEELIX      |STEEL/GROUND     |  75|  85| 200|  55|  65|  30|ENERGÍA PURA|AUSENTE     |REV.METÁLICO (rare)
209|SNUBBULL     |NORMAL           |  60|  80|  50|  40|  40|  30|ESPESURA    |(?)         |
210|GRANBULL     |NORMAL           |  90| 120|  75|  60|  60|  45|SOMBRATRAMPA|(?)         |
211|QWILFISH     |WATER/POISON     |  65|  95|  75|  55|  55|  85|LEVITACIÓN  |ENJAMBRE    |
212|SCIZOR       |BUG/STEEL        |  70| 130| 100|  55|  80|  65|PIEL TOSCA  |CAMBIO COLOR|
213|SHUCKLE      |BUG/ROCK         |  20|  10| 230|  10| 230|   5|MADRUGAR    |(?)         |BAYA ARANJA (100%)
214|HERACROSS    |BUG/FIGHTING     |  80| 125|  75|  40|  95|  85|ROBUSTEZ    |(?)         |
215|SNEASEL      |DARK/ICE         |  55|  95|  55|  35|  75| 115|BUCLE AIRE  |SINCRONÍA   |GARRA RÁPIDA (rare)
216|TEDDIURSA    |NORMAL           |  60|  80|  50|  50|  50|  40|MADRUGAR    |(?)         |
217|URSARING     |NORMAL           |  90| 130|  75|  75|  75|  55|PIEL TOSCA  |ROBUSTEZ    |
218|SLUGMA       |FIRE             |  40|  40|  40|  70|  40|  20|PIEL TOSCA  |(?)         |
219|MAGCARGO     |FIRE/ROCK        |  50|  50| 120|  80|  80|  30|VENTOSAS    |(?)         |
220|SWINUB       |ICE/GROUND       |  50|  50|  40|  30|  30|  50|ROBUSTEZ    |(?)         |
221|PILOSWINE    |ICE/GROUND       | 100| 100|  80|  60|  60|  50|INTIMIDACIÓN|GRAN ENCANTO|
222|CORSOLA      |WATER/ROCK       |  55|  55|  85|  65|  85|  35|EFEC. ESPORA|MENOS       |PARTE ROJA (rare)
223|REMORAID     |WATER            |  35|  65|  35|  65|  35|  65|SEBO        |PUNTO TÓXICO|
224|OCTILLERY    |WATER            |  75| 105|  75| 105|  75|  45|FLEXIBILIDAD|(?)         |
225|DELIBIRD     |ICE/FLYING       |  45|  55|  45|  65|  45|  75|FUGA        |ENERGÍA PURA|
226|MANTINE      |WATER/FLYING     |  65|  40|  70|  80| 140|  70|CAMBIO COLOR|VENTOSAS    |
227|SKARMORY     |STEEL/FLYING     |  65|  80| 140|  40|  70|  70|INMUNIDAD   |(?)         |
